LGOROWLENGTH	3																																										
Measurement_mode	patch																																										
CREATED	10/17/2018	#	Time:	13:31																																							
INSTRUMENTATION	Eye-One	iO																																									
MEASUREMENT_SOURCE	WhiteBase=Absolute	Filter=No																																									
ILLUMINATION_NAME	D50																																										
OBSERVER_ANGLE	2																																										
KEYWORD	SampleID																																										
KEYWORD	SAMPLE_NAME																																										
NUMBER_OF_FIELDS	44																																										
BEGIN_DATA_FORMAT																																											
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT																																											
NUMBER_OF_SETS	33																																										
BEGIN_DATA																																											
24	H3	1.19	1.26	1	10.97	-0.74	0.5	0.0099	0.0117	0.0112	0.0118	0.0116	0.0114	0.0112	0.011	0.0114	0.0118	0.0133	0.0167	0.0192	0.0176	0.0141	0.0129	0.0125	0.0105	0.0091	0.0102	0.0121	0.0131	0.0129	0.0125	0.0126	0.013	0.0137	0.0152	0.0171	0.0182	0.0179	0.0173	0.0162	0.0161	0.0186	0.0253
25	I1	62.32	69.39	68.95	86.7	-10.37	-11.33	0.2345	0.3021	0.4304	0.5862	0.7322	0.8174	0.8469	0.8543	0.8532	0.8518	0.8494	0.851	0.8513	0.8398	0.8182	0.7918	0.7627	0.7209	0.6698	0.6323	0.6053	0.5929	0.5841	0.576	0.575	0.5783	0.5879	0.6044	0.6228	0.6322	0.6308	0.6235	0.6133	0.6089	0.6232	0.661
26	I2	21.84	23.84	22.29	55.93	-5.28	-5.28	0.0991	0.1266	0.1664	0.206	0.2367	0.2529	0.2604	0.266	0.2669	0.2691	0.2869	0.324	0.3506	0.3282	0.2809	0.2609	0.2543	0.2191	0.1897	0.198	0.2153	0.2221	0.2182	0.2133	0.2152	0.2213	0.232	0.2506	0.2716	0.2815	0.2778	0.2673	0.2531	0.2465	0.264	0.3122
27	I3	1.25	1.28	0.93	11.11	0.5	1.86	0.0114	0.0112	0.0123	0.0115	0.0113	0.0111	0.0104	0.0101	0.0105	0.0106	0.0121	0.0153	0.0178	0.0167	0.0138	0.0124	0.0122	0.0106	0.0095	0.0106	0.0127	0.0138	0.0138	0.0134	0.0137	0.0143	0.0154	0.017	0.0192	0.0204	0.0199	0.0189	0.0176	0.0175	0.0202	0.0272
28	J1	71.13	76.33	69.53	90.01	-5.16	-6.14	0.2542	0.3154	0.4434	0.5987	0.7446	0.8291	0.8549	0.8595	0.8577	0.8562	0.8543	0.8569	0.8585	0.8496	0.8326	0.8156	0.7997	0.7745	0.7438	0.7259	0.7124	0.7084	0.7067	0.7018	0.7001	0.7014	0.7081	0.7184	0.7301	0.7372	0.7387	0.7371	0.735	0.7354	0.7442	0.7663
29	J2	23.75	25.17	22.04	57.24	-2.3	-2.54	0.1033	0.1304	0.1678	0.2065	0.2358	0.2509	0.2576	0.2623	0.2628	0.2652	0.2832	0.3212	0.3492	0.3276	0.281	0.2631	0.2593	0.2265	0.2003	0.2144	0.238	0.2487	0.2469	0.2428	0.2452	0.2514	0.2625	0.2812	0.302	0.3122	0.3089	0.2986	0.2842	0.2785	0.2964	0.3433
30	J3	1.31	1.35	1.07	11.64	0.06	0.7	0.0108	0.0108	0.0122	0.0125	0.0126	0.0124	0.0119	0.0119	0.0121	0.0122	0.0141	0.0175	0.0201	0.0185	0.0149	0.0135	0.0132	0.0112	0.0098	0.0109	0.013	0.0143	0.0142	0.0138	0.0142	0.0147	0.0158	0.0177	0.0199	0.0212	0.0208	0.0196	0.0183	0.0179	0.0208	0.0284
31	K1	82.07	85.18	71.06	93.96	-0.11	-0.71	0.275	0.3343	0.4639	0.6228	0.7713	0.8544	0.8757	0.8768	0.8732	0.8706	0.8686	0.8713	0.8757	0.8736	0.8655	0.8563	0.8517	0.8469	0.8396	0.8386	0.835	0.8402	0.8498	0.854	0.856	0.8588	0.8646	0.8704	0.8763	0.8804	0.8835	0.8852	0.8884	0.8918	0.8929	0.8969
32	K2	26.22	27.15	21.58	59.12	0.17	1.6	0.1073	0.1319	0.1673	0.203	0.2309	0.2445	0.2501	0.2547	0.2553	0.2587	0.2789	0.3206	0.352	0.3327	0.2875	0.2715	0.2707	0.2408	0.218	0.2379	0.2678	0.2828	0.2832	0.2799	0.2828	0.2894	0.3007	0.3195	0.3403	0.3506	0.3479	0.3382	0.3244	0.3188	0.3369	0.3828
33	K3	1.44	1.46	1.02	12.38	0.77	2.63	0.0108	0.0115	0.0122	0.0122	0.0119	0.0117	0.0114	0.0113	0.0113	0.0118	0.0136	0.0171	0.02	0.0188	0.0156	0.0142	0.014	0.0121	0.0108	0.0122	0.0146	0.016	0.0161	0.0157	0.0161	0.0168	0.0181	0.0201	0.0225	0.0238	0.0234	0.0223	0.021	0.0208	0.0239	0.0316
END_DATA																																											
